Name,Team,1B,2B,3B,HR,BB,SB,CS,AVG,OBP,SLG,wRC+,Fld,WAR,playerid
Alex Rodriguez,Rangers,114,34,1,52,75,18,3,0.318,0.399,0.622,159,-9,7.8,1274
Rich Aurilia,Giants,127,37,5,37,47,1,3,0.324,0.369,0.572,144,5,7.1,1106
Derek Jeter,Yankees,132,35,3,21,56,27,2,0.311,0.377,0.48,130,-17,4.2,826
Cristian Guzman,Twins,97,28,14,10,21,25,8,0.302,0.337,0.477,111,8,3.9,728
Shane Halter,Tigers,77,32,7,12,37,3,3,0.284,0.344,0.467,115,0,2.9,468
Miguel Tejada,Athletics,101,31,3,31,43,11,5,0.267,0.326,0.476,109,-1,3.7,941
Ricky Gutierrez,Cubs,117,23,3,10,40,4,3,0.29,0.345,0.402,96,-4,1.8,387
Orlando Cabrera,Expos,112,41,6,14,43,19,7,0.276,0.324,0.428,87,13,3.1,766
Craig Counsell,Diamondbacks,97,22,3,4,61,6,8,0.275,0.359,0.362,88,10,2,52
David Eckstein,Angels,134,26,2,4,43,29,4,0.285,0.355,0.357,95,-4,2.2,10
Jimmy Rollins,Phillies,125,29,12,14,48,46,8,0.274,0.323,0.419,93,-8,2.1,971
Placido Polanco,Cardinals,140,26,4,3,25,12,3,0.307,0.342,0.383,92,23,4,1176
Jose Hernandez,Brewers,82,26,2,25,39,5,4,0.249,0.3,0.443,85,5,1.9,688
Julio Lugo,Astros,102,20,3,10,46,12,11,0.263,0.326,0.372,79,4,1,565
Carlos Guillen,Mariners,88,21,4,5,53,4,1,0.259,0.333,0.355,89,10,2.6,1079
Melvin Mora,Orioles,74,28,0,7,41,11,4,0.25,0.329,0.362,88,5,1.8,157
Neifi Perez,- - -,119,26,9,8,26,9,6,0.279,0.309,0.396,66,13,1.2,620
Alex Gonzalez,Blue Jays,114,25,5,17,43,18,11,0.253,0.303,0.388,78,10,2.1,281
Edgar Renteria,Cardinals,96,19,3,10,39,17,4,0.26,0.314,0.371,78,8,1.7,1178
Omar Vizquel,Indians,120,26,8,2,61,13,9,0.255,0.323,0.334,76,-8,0.1,411
Alex Gonzalez,Marlins,83,36,1,9,30,2,2,0.25,0.303,0.377,77,-3,0.4,520
Tony Womack,Diamondbacks,101,19,5,3,23,28,7,0.266,0.307,0.345,66,9,1,78
Rey Sanchez,- - -,129,18,6,0,15,11,1,0.281,0.3,0.336,61,27,2.6,213
Rey Ordonez,Mets,83,24,4,3,34,3,2,0.247,0.299,0.336,60,4,0,889
