playerID,teamID,PA12,OPS12,PA13,OPS13
vottojo01,CIN,475,1.0405,726,0.9258
ortizda01,BOS,383,1.0263,600,0.9587
cabremi01,DET,697,0.9992,652,1.0778
braunry02,MIL,677,0.9868,253,0.8693
stantmi03,MIA,501,0.9693,504,0.8451
troutmi01,LAA,639,0.9626,716,0.9884
poseybu01,SFN,610,0.9573,595,0.8214
mossbr01,OAK,296,0.9543,505,0.8591
mccutan01,PIT,673,0.9528,674,0.9113
encared01,TOR,644,0.9407,621,0.9043
fieldpr01,DET,690,0.9400,712,0.8191
ruizca01,PHI,421,0.9346,341,0.6882
hamiljo03,TEX,636,0.9303,636,0.7389
canoro01,NYA,697,0.9290,681,0.8990
beltrad01,TEX,654,0.9206,690,0.8797
ruggiju01,MIA,319,0.9089,471,0.6941
cabreme01,SFN,501,0.9063,372,0.6821
kempma01,LAN,449,0.9059,290,0.7230
ramirar01,MIL,630,0.9007,351,0.8309
longoev01,TBA,312,0.8961,693,0.8418
willijo03,MIN,615,0.8899,471,0.7094
bautijo02,TOR,399,0.8855,528,0.8557
wrighda03,NYN,670,0.8833,492,0.9042
butlebi03,KCA,679,0.8824,668,0.7866
hillaa01,ARI,668,0.8820,362,0.8181
gonzaca01,COL,579,0.8810,436,0.9578
lucrojo01,MIL,346,0.8808,580,0.7945
quentca01,SDN,340,0.8771,320,0.8553
hollima01,SLN,688,0.8769,602,0.8791
ludwiry01,CIN,472,0.8769,140,0.6184
craigal01,SLN,514,0.8765,563,0.8297
headlch01,SDN,699,0.8746,600,0.7467
molinya01,SLN,563,0.8742,541,0.8358
gomesjo01,OAK,333,0.8675,366,0.7705
cartech02,OAK,260,0.8638,585,0.7703
fowlede01,COL,530,0.8629,492,0.7761
grandya01,SDN,226,0.8626,108,0.6928
mauerjo01,MIN,641,0.8615,508,0.8799
cespeyo01,OAK,540,0.8607,574,0.7368
pujolal01,LAA,670,0.8589,443,0.7669
murphda07,TEX,519,0.8588,475,0.6560
scutama01,SFN,268,0.8587,547,0.7257
konerpa01,CHA,598,0.8572,520,0.6689
dirksan01,DET,344,0.8568,484,0.6860
jacksau01,DET,617,0.8561,614,0.7538
larocad01,WAS,647,0.8528,590,0.7353
jasojo01,SEA,361,0.8502,249,0.7591
riosal01,CHA,640,0.8501,464,0.7485
riosal01,CHA,640,0.8501,197,0.7717
goldspa01,ARI,587,0.8497,709,0.9521
zobribe01,TBA,668,0.8483,698,0.7563
tulowtr01,COL,203,0.8458,512,0.9310
desmoia01,WAS,547,0.8453,655,0.7841
chaveer01,NYA,313,0.8446,253,0.8101
rosarwi01,COL,426,0.8425,466,0.8010
beltrca01,SLN,619,0.8417,600,0.8299
bruceja01,CIN,633,0.8413,696,0.8067
moorety01,WAS,171,0.8403,178,0.6072
freesda01,SLN,567,0.8392,521,0.7207
jonesad01,BAL,697,0.8389,689,0.8110
swishni01,NYA,624,0.8374,634,0.7633
markani01,BAL,471,0.8345,700,0.6850
middlwi01,BOS,286,0.8345,374,0.6961
frandke01,PHI,210,0.8341,278,0.6373
kubelja01,ARI,571,0.8334,267,0.6120
jonesga02,PIT,515,0.8323,440,0.7080
brantro01,MIA,113,0.8317,243,0.5279
montemi01,ARI,573,0.8292,475,0.6617
frazito01,CIN,465,0.8288,600,0.7212
carpema01,SLN,340,0.8275,717,0.8730
pierzaj01,CHA,520,0.8267,529,0.7222
davisch02,BAL,562,0.8266,673,1.0035
werthja01,WAS,344,0.8266,532,0.9310
younger03,COL,196,0.8252,180,0.6413
younger03,COL,196,0.8252,418,0.6468
johnsch05,ARI,160,0.8242,547,0.8155
zimmery01,WAS,641,0.8238,633,0.8092
gordoal01,KCA,721,0.8224,700,0.7489
soriaal01,CHN,615,0.8211,383,0.7541
soriaal01,CHN,615,0.8211,243,0.8502
hunteto01,LAA,584,0.8167,652,0.7997
harpebr03,WAS,597,0.8166,497,0.8543
overbly01,ARI,109,0.8149,485,0.6881
choosh01,CLE,686,0.8146,712,0.8853
heywaja01,ATL,650,0.8141,439,0.7760
gonzaad01,BOS,527,0.8125,641,0.8031
napolmi01,TEX,417,0.8117,578,0.8418
ethiean01,LAN,618,0.8116,553,0.7831
grandcu01,NYA,684,0.8108,245,0.7234
nelsoch01,COL,377,0.8100,119,0.6259
kratzer01,PHI,157,0.8093,218,0.6656
trumbma01,LAA,586,0.8082,678,0.7467
rossco01,BOS,528,0.8075,351,0.7447
cuddymi01,COL,394,0.8061,540,0.9185
keppije01,TBA,418,0.8059,450,0.6003
rizzoan01,CHN,368,0.8053,690,0.7423
hairssc01,NYN,398,0.8030,112,0.6665
dunnad01,CHA,649,0.8004,607,0.7615
johnsre02,CHN,183,0.7990,136,0.6526
perezsa02,KCA,305,0.7985,526,0.7567
shoppke01,BOS,158,0.7984,125,0.6385
pedrodu01,BOS,623,0.7966,724,0.7865
pradoma01,ATL,690,0.7962,664,0.7499
freemfr01,ATL,620,0.7959,629,0.8968
denorch01,SDN,382,0.7959,520,0.7319
suzukic01,NYA,240,0.7942,555,0.6392
eatonad02,ARI,103,0.7941,277,0.6739
utleych01,PHI,362,0.7932,531,0.8232
morsemi01,WAS,430,0.7914,307,0.6933
morelmi01,TEX,357,0.7890,518,0.7365
sandopa01,SFN,442,0.7886,584,0.7579
aokino01,MIL,588,0.7873,674,0.7260
moralke01,LAA,522,0.7869,657,0.7849
dominma01,HOU,113,0.7868,589,0.6895
ellisaj01,LAN,505,0.7865,448,0.6817
gonzaad01,LAN,157,0.7853,641,0.8031
crawfca02,BOS,125,0.7851,468,0.7360
uptonju01,ARI,628,0.7847,643,0.8177
santaca01,CLE,609,0.7847,642,0.8317
hafnetr01,CLE,263,0.7844,299,0.6789
alvarpe01,PIT,586,0.7841,614,0.7695
tracych01,WAS,105,0.7837,136,0.5682
